Unidades: MW;;;;;;;;;;;;;;;
Informação acedida em: 17/04/2025 15:36:40;;;;;;;;;;;;;;;
Data e Hora;Hídrica;Eólica;Solar;Biomassa;Ondas;Gás Natural - Ciclo Combinado;Gás natural - Cogeração;Carvão;Outra Térmica;Importação;Exportação;Bombagem;Injeção de Baterias;Consumo Baterias;Consumo
01/01/2024 00:00;1982.3;327.2;0.0;365.2;0.0;0.0;190.9;0.0;31.6;2305.0;0.0;0.0;0.0;0.0;5191.8
01/01/2024 00:15;1896.2;334.0;0.0;364.7;0.0;0.0;193.0;0.0;31.7;2343.2;0.0;0.0;0.0;0.0;5151.1
01/01/2024 00:30;1786.4;339.7;0.0;364.2;0.0;0.0;193.4;0.0;31.9;2409.3;0.0;0.0;0.0;0.0;5114.6
01/01/2024 00:45;1699.9;369.8;0.0;362.9;0.0;0.0;193.4;0.0;31.4;2437.3;0.0;0.0;0.0;0.0;5083.4
01/01/2024 01:00;1189.2;377.7;0.0;367.4;0.0;0.0;190.9;0.0;32.5;2903.5;0.0;0.0;0.0;0.0;5048.6
01/01/2024 01:15;1105.5;393.4;0.0;366.4;0.0;0.0;189.9;0.0;32.0;2947.6;0.0;18.8;0.0;0.0;5001.8
01/01/2024 01:30;1109.9;417.1;0.0;364.3;0.0;0.0;189.6;0.0;32.0;2951.7;0.0;115.0;0.0;0.0;4937.5
01/01/2024 01:45;1105.4;467.4;0.0;366.1;0.0;0.0;189.8;0.0;32.3;2875.2;0.0;160.5;0.0;0.0;4861.9
01/01/2024 02:00;1488.8;512.0;0.0;362.9;0.0;0.0;189.8;0.0;31.6;2557.7;0.0;338.5;0.0;0.0;4790.5
01/01/2024 02:15;1502.5;480.0;0.0;363.5;0.0;0.0;189.7;0.0;32.0;2690.4;0.0;531.6;0.0;0.0;4711.9
01/01/2024 02:30;1489.2;473.1;0.0;364.7;0.0;0.0;189.8;0.0;32.0;2678.6;0.0;559.7;0.0;0.0;4653.1
01/01/2024 02:45;1469.2;483.2;0.0;367.1;0.0;0.0;189.7;0.0;32.7;2613.5;0.0;560.0;0.0;0.0;4581.2
01/01/2024 03:00;1200.7;489.6;0.0;368.8;0.0;0.0;189.8;0.0;32.9;2800.4;0.0;558.5;0.0;0.0;4507.8
01/01/2024 03:15;1189.1;503.9;0.0;365.1;0.0;0.0;190.1;0.0;32.2;2830.3;0.0;660.0;0.0;0.0;4435.3
01/01/2024 03:30;1222.7;522.7;0.0;363.8;0.0;0.0;189.9;0.0;31.8;2837.1;0.0;768.2;0.0;0.0;4383.2
01/01/2024 03:45;1179.3;526.4;0.0;363.0;0.0;0.0;190.0;0.0;32.0;2821.7;0.0;768.2;0.0;0.0;4328.5
01/01/2024 04:00;1214.6;522.5;0.0;364.2;0.0;0.0;190.1;0.0;32.3;2760.3;0.0;767.8;0.0;0.0;4298.7
01/01/2024 04:15;1197.5;529.9;0.0;361.9;0.0;0.0;190.1;0.0;31.9;2771.3;0.0;798.4;0.0;0.0;4265.8
01/01/2024 04:30;1257.7;540.7;0.0;360.9;0.0;0.0;190.3;0.0;32.2;2839.3;0.0;975.3;0.0;0.0;4227.5
01/01/2024 04:45;1220.6;559.9;0.0;368.3;0.0;0.0;190.3;0.0;32.5;2820.4;0.0;975.6;0.0;0.0;4198.8
